,phrase,label,sentiment,subjectivity,language,count
Europäische Union,Europäische Union,ORG,-0.1846153846153846,0.28846153846153844,de,26
FC Köln,FC Köln,ORG,-0.05384615384615384,0.07692307692307693,de,26
wi…,wi…,ORG,0.025,0.057692307692307696,de,26
UNICEF,UNICEF,ORG,-0.31999999999999995,0.18,de,25
lhe,lhe,ORG,-0.1996,0.22,de,25
Deutschen Bahn,Deutschen Bahn,ORG,0.23199999999999998,0.04,de,25
dpo,dpo,ORG,0.04799999999999999,0.25,de,25
Fridays for Future,Fridays for Future,ORG,0.002666666666666657,0.0,de,25
RTL,RTL,ORG,-0.14,0.0,en,25
di…,di…,ORG,-0.05499999999999999,0.06,de,25
Borussia Dortmund,Borussia Dortmund,ORG,0.12499999999999999,0.07638888888888888,de,24
LNG-Terminal,LNG-Terminal,ORG,-0.32083333333333336,0.0,de,24
Deutsche Umwelthilfe,Deutsche Umwelthilfe,ORG,-0.02569444444444445,0.05555555555555555,de,24
un…,un…,ORG,0.09999999999999999,0.0,de,24
H…,H…,ORG,0.006249999999999996,0.020833333333333332,de,24
DLRG,DLRG,ORG,-0.06521739130434782,0.21739130434782608,de,23
BSH,BSH,ORG,-0.13478260869565215,0.0,de,23
Stiftung Warentest,Stiftung Warentest,ORG,0.0782608695652174,0.0,de,23
Internationale Energieagentur,Internationale Energieagentur,ORG,-0.10869565217391304,0.06521739130434782,de,23
Eintracht Frankfurt,Eintracht Frankfurt,ORG,0.013043478260869563,0.13043478260869565,de,23
FOCUS online,FOCUS online,ORG,-0.006521739130434779,0.043478260869565216,de,23
we…,we…,ORG,0.034782608695652174,0.08695652173913043,de,23
s…,s…,ORG,0.045454545454545456,0.09090909090909091,de,22
dpa/tmn,dpa/tmn,ORG,0.0,0.0,de,22
dpa,dpa,ORG,-0.21363636363636365,0.0,de,22
China,China,ORG,0.0,0.0,de,22
https://epaper.welt.de,https://epaper.welt.de,ORG,0.0,0.0,de,22
Apple,Apple,ORG,0.04523809523809522,0.0,de,21
Zentrum,Zentrum,ORG,0.09523809523809523,0.0,de,21
DFB,DFB,ORG,0.13333333333333333,0.06666666666666667,de,21
Internationalen Energieagentur,Internationalen Energieagentur,ORG,-0.14285714285714285,0.09523809523809523,de,21
HND,HND,ORG,-0.12,0.05,de,20
EnBW,EnBW,ORG,0.034999999999999996,0.05,de,20
Gewerkschaft,Gewerkschaft,ORG,0.0925,0.1,de,20
Fifa,Fifa,ORG,-0.08421052631578947,0.10526315789473684,de,19
Heizkosten,Heizkosten,ORG,0.17719298245614032,0.20175438596491227,de,19
Russland,Russland,ORG,0.09999999999999999,0.07894736842105263,de,19
ni…,ni…,ORG,0.10789473684210525,0.02631578947368421,de,19
Shutterstock.com,Shutterstock.com,ORG,0.10986842105263157,0.05263157894736842,de,19
FC Magdeburg,FC Magdeburg,ORG,-0.06578947368421052,0.0,de,19
+++ Energiekrise +++,+++ Energiekrise +++,ORG,0.057894736842105256,0.0,de,19
DUH,DUH,ORG,-0.19429824561403508,0.09649122807017543,de,19
EU-Parlament,EU-Parlament,ORG,-0.049999999999999996,0.02631578947368421,de,19
München,München,ORG,-0.2768518518518518,0.06481481481481481,de,18
Winterdienst,Winterdienst,ORG,-0.07777777777777778,0.05555555555555555,de,18
S…,S…,ORG,0.04074074074074076,0.0,de,18
e…,e…,ORG,0.07222222222222223,0.0,de,18
FC St. Pauli,FC St. Pauli,ORG,0.20833333333333334,0.08333333333333333,de,18
Liga,Liga,ORG,0.03888888888888889,0.05555555555555555,de,18
RS-Virus,RS-Virus,ORG,-0.16111111111111112,0.19444444444444445,de,18
BSR,BSR,ORG,0.2027777777777778,0.05555555555555555,de,18
SC Freiburg,SC Freiburg,ORG,0.14027777777777778,0.07777777777777778,de,18
Linke,Linke,ORG,0.12352941176470586,0.058823529411764705,de,17
TV-Rechte,TV-Rechte,ORG,0.02941176470588236,0.0,de,17
Gewerkschaft der Polizei,Gewerkschaft der Polizei,ORG,-0.18823529411764706,0.029411764705882353,de,17
FC Bayern München,FC Bayern München,ORG,0.03823529411764706,0.029411764705882353,de,17
Brand,Brand,ORG,-0.5294117647058824,0.058823529411764705,de,17
BP,BP,ORG,-0.11764705882352941,0.058823529411764705,de,17
F…,F…,ORG,0.002941176470588225,0.0196078431372549,de,17
Deutschen Wetterdiensts,Deutschen Wetterdiensts,ORG,0.03823529411764706,0.11764705882352941,de,17
Corona,Corona,ORG,-0.008823529411764707,0.08823529411764706,de,17
BER,BER,ORG,0.16470588235294117,0.0,de,17
RT DE,RT DE,ORG,-0.08235294117647059,0.029411764705882353,de,17
Nord Stream,Nord Stream,ORG,-0.15882352941176472,0.0,de,17
RKI,RKI,ORG,0.0,0.11764705882352941,de,17
