keyword,sentiment_mean,sentiment_std,subjectivity_mean,subjectivity_std,counting
'Black Out',0.12495833524253432,0.9442715134160886,-0.15704245822107996,0.7894022703159815,55.0
'Blackout',-0.1505211881652523,0.970825595783862,-0.10559124697454894,0.8780397947349234,1084.0
'Energiekosten',0.013299740521127968,0.9699285693824502,0.14088517575777165,1.0921718948950299,801.0
'Energiepauschale',0.11489798201637962,0.7939403838586843,0.0940472867513159,1.076139728897403,166.0
'Gas',0.026126525868882894,0.9690375419061196,-0.04876440573797803,0.9665294497308845,3893.0
'Glatteis',-0.1790241331358357,0.9701612600076901,-0.035308629425298756,0.9228449443588372,1003.0
'Heizkosten',0.13289386691894386,0.9272651791762032,0.25817905977938155,1.1604317548536598,670.0
'Hochwasser',-0.04793111335949084,0.9191975249279096,-0.018760454440987305,0.9957375535554642,2511.0
'Kinder',-0.1100631603722338,1.1162313289586698,0.009961074656206895,1.013335871645065,5604.0
'Kohle',0.05218540359116621,0.8956056204557682,0.0806233280960678,1.0998852654156897,1477.0
'Kälte',0.012501339317497232,1.0046673614521648,-0.03958659351222981,0.9496847065826607,1143.0
'Rohöl',0.17858598184314395,0.7938390744695542,-0.11403043856384423,0.8641699901190133,114.0
'Schimmel',0.028238019734379848,1.0649582899500427,-0.15619408097852666,0.798920167040513,615.0
'Schnee',0.047554468971565074,0.920301880505335,-0.00551191162904309,0.9819017728259508,2611.0
'Spritpreise',0.18970205889470074,0.9271592765537435,-0.10678398721724769,0.8459615939428512,511.0
'Winter',0.15068739888939264,0.9710655944861704,-0.0031790089629929238,0.9718044581513412,3489.0
'ältere Menschen',-0.03561675973405358,1.0448381752677818,0.26607944320485155,1.2324109930108373,581.0
